,ID hecho,AAA,MM,DD,FECHA ,VEHICULO_VICTIMA,SEXO_VICTIMA,EDAD_VICTIMA,GRAVEDAD
210,LC-2019-0016012,2019,1,8,2019-01-08,,Mujer,17.0,
211,LC-2019-0016105,2019,1,8,2019-01-08,,Varon,40.0,
212,LC-2019-0016278,2019,1,8,2019-01-08,,Varon,40.0,
213,LC-2019-0016388,2019,1,9,2019-01-09,,Varon,,
214,LC-2019-0016388,2019,1,9,2019-01-09,,Mujer,,
215,LC-2019-0016581,2019,1,9,2019-01-09,,Varon,58.0,
216,LC-2019-0016613,2019,1,9,2019-01-09,,Varon,42.0,
217,LC-2019-0017068,2019,1,9,2019-01-09,,Varon,58.0,
218,LC-2019-0017068,2019,1,9,2019-01-09,,Mujer,58.0,
219,LC-2019-0017068,2019,1,9,2019-01-09,,Mujer,43.0,
220,LC-2019-0017068,2019,1,9,2019-01-09,,Mujer,24.0,
221,LC-2019-0017182,2019,1,9,2019-01-09,,Varon,33.0,
222,LC-2019-0017186,2019,1,9,2019-01-09,,Varon,24.0,
223,LC-2019-0017460,2019,1,9,2019-01-09,,Varon,35.0,
224,LC-2019-0017504,2019,1,9,2019-01-09,,Varon,,
225,LC-2019-0017514,2019,1,9,2019-01-09,,Varon,70.0,
226,LC-2019-0017514,2019,1,9,2019-01-09,,Varon,70.0,
227,LC-2019-0017561,2019,1,9,2019-01-09,,Varon,38.0,
228,LC-2019-0018006,2019,1,9,2019-01-09,,Varon,24.0,
229,LC-2019-0018207,2019,1,9,2019-01-09,,Mujer,33.0,
230,LC-2019-0018425,2019,1,9,2019-01-09,,Varon,38.0,
231,LC-2019-0018474,2019,1,9,2019-01-09,,Varon,58.0,
232,LC-2019-0018500,2019,1,9,2019-01-09,,Varon,34.0,
233,LC-2019-0018518,2019,1,9,2019-01-09,,Varon,41.0,
234,LC-2019-0018592,2019,1,9,2019-01-09,,Mujer,,
235,LC-2019-0018630,2019,1,9,2019-01-09,,Mujer,,
236,LC-2019-0018751,2019,1,9,2019-01-09,,Varon,43.0,
237,LC-2019-0021352,2019,1,9,2019-01-09,,Varon,18.0,
238,LC-2019-0022439,2019,1,9,2019-01-09,,Varon,40.0,
