,ID hecho,MM,FECHA ,VEHICULO_VICTIMA,SEXO_VICTIMA,EDAD_VICTIMA,AÑO,semestre
17522,LC-2020-0449487,7,2020-07-24,MOTO,Varon,,2020,S2H2
17523,LC-2020-0464567,8,2020-08-04,PEATON,Varon,50.0,2020,S2H2
17524,LC-2020-0465397,8,2020-08-05,,Varon,33.0,2020,S2H2
17525,LC-2020-0472694,8,2020-08-10,AUTO,Varon,26.0,2020,S2H2
17526,LC-2020-0479274,8,2020-08-13,CICLISTA,Varon,29.0,2020,S2H2
17527,LC-2020-0485502,8,2020-08-19,AUTO,,26.0,2020,S2H2
17528,LC-2020-0487873,8,2020-08-21,MOTO,Varon,25.0,2020,S2H2
17529,LC-2020-0497426,8,2020-08-28,AUTO,varon,34.0,2020,S2H2
17530,LC-2020-0497426,8,2020-08-28,AUTO,,,2020,S2H2
17531,LC-2020-0497426,8,2020-08-28,AUTO,,,2020,S2H2
17532,LC-2020-0499369,8,2020-08-29,AUTO,Mujer,65.0,2020,S2H2
17533,LC-2020-0508640,9,2020-09-06,MOTO,,40.0,2020,S2H2
17534,LC-2020-0510108,9,2020-09-07,PEATON,Varon,16.0,2020,S2H2
17535,LC-2020-0519930,9,2020-09-14,CICLISTA,,,2020,S2H2
17536,LC-2020-0524421,9,2020-09-17,TAXI,Mujer,29.0,2020,S2H2
17537,LC-2020-0524421,9,2020-09-17,TAXI,Varon,58.0,2020,S2H2
17538,LC-2020-0539033,9,2020-09-27,MOTO,Mujer,47.0,2020,S2H2
17539,LC-2020-0548353,10,2020-10-02,,Varon,28.0,2020,S2H2
17540,LC-2020-0550491,10,2020-10-04,,Varon,23.0,2020,S2H2
17541,LC-2020-0556731,10,2020-10-08,,Mujer,32.0,2020,S2H2
17542,LC-2020-0559500,10,2020-10-10,,Varon,44.0,2020,S2H2
17543,LC-2020-0559677,10,2020-10-10,,,,2020,S2H2
17544,LC-2020-0560511,10,2020-10-10,,Mujer,51.0,2020,S2H2
17545,LC-2020-0560511,10,2020-10-10,,,,2020,S2H2
17546,LC-2020-0565126,10,2020-10-14,,Varon,,2020,S2H2
17547,LC-2020-0566097,10,2020-10-14,,,,2020,S2H2
17548,LC-2020-0569434,10,2020-10-16,,Varon,21.0,2020,S2H2
17549,LC-2020-0570314,10,2020-10-17,,Varon,51.0,2020,S2H2
17550,LC-2020-0570314,10,2020-10-17,,Mujer,47.0,2020,S2H2
17551,LC-2020-0615163,11,2020-11-15,CICLISTA,Varon,20.0,2020,S2H2
17552,LC-2020-0615163,11,2020-11-15,CICLISTA,Varon,19.0,2020,S2H2
17553,LC-2020-0628702,11,2020-11-25,PEATON,Varon,29.0,2020,S2H2
