,ID_hecho,FECHA,ROL,VICTIMA,SEXO,EDAD,GRAVEDAD
0,2016-0001,2016-01-01,CONDUCTOR,MOTO,MASCULINO,19.0,FATAL
1,2016-0002,2016-01-02,CONDUCTOR,AUTO,MASCULINO,70.0,FATAL
2,2016-0003,2016-01-03,CONDUCTOR,MOTO,MASCULINO,30.0,FATAL
3,2016-0004,2016-01-10,CONDUCTOR,MOTO,MASCULINO,18.0,FATAL
4,2016-0005,2016-01-21,CONDUCTOR,MOTO,MASCULINO,29.0,FATAL
5,2016-0008,2016-01-24,CONDUCTOR,MOTO,MASCULINO,30.0,FATAL
6,2016-0009,2016-01-24,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,29.0,FATAL
7,2016-0010,2016-01-29,CONDUCTOR,MOTO,MASCULINO,18.0,FATAL
8,2016-0012,2016-02-08,CONDUCTOR,MOTO,MASCULINO,22.0,FATAL
9,2016-0013,2016-02-10,PEATON,PEATON,MASCULINO,16.0,FATAL
10,2016-0015,2016-02-14,PEATON,PEATON,FEMENINO,16.0,FATAL
11,2016-0016,2016-02-14,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,19.0,FATAL
12,2016-0017,2016-02-15,PEATON,PEATON,MASCULINO,59.0,FATAL
13,2016-0019,2016-02-17,PEATON,PEATON,FEMENINO,65.0,FATAL
14,2016-0020,2016-02-17,PEATON,PEATON,MASCULINO,59.0,FATAL
15,2016-0021,2016-02-17,CONDUCTOR,AUTO,MASCULINO,34.0,FATAL
16,2016-0022,2016-02-21,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,41.0,FATAL
17,2016-0025,2016-02-28,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34.0,FATAL
18,2016-0026,2016-02-28,CONDUCTOR,AUTO,MASCULINO,30.0,FATAL
19,2016-0027,2016-02-28,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34.0,FATAL
20,2016-0028,2016-03-02,PEATON,PEATON,MASCULINO,50.0,FATAL
21,2016-0029,2016-03-04,PEATON,PEATON,MASCULINO,38.0,FATAL
22,2016-0031,2016-03-08,CONDUCTOR,MOTO,MASCULINO,21.0,FATAL
23,2016-0034,2016-03-12,PEATON,PEATON,MASCULINO,52.0,FATAL
24,2016-0035,2016-03-13,CONDUCTOR,MOTO,MASCULINO,34.0,FATAL
25,2016-0036,2016-03-14,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,36.0,FATAL
26,2016-0037,2016-03-19,CONDUCTOR,MOTO,MASCULINO,20.0,FATAL
27,2016-0038,2016-03-21,PEATON,PEATON,MASCULINO,29.0,FATAL
28,2016-0039,2016-03-23,CONDUCTOR,MOTO,MASCULINO,20.0,FATAL
29,2016-0041,2016-03-29,CONDUCTOR,MOTO,MASCULINO,54.0,FATAL
30,2016-0041,2016-03-29,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,,FATAL
31,2016-0043,2016-03-30,PEATON,PEATON,FEMENINO,56.0,FATAL
32,2016-0044,2016-03-31,CONDUCTOR,MOTO,MASCULINO,24.0,FATAL
33,2016-0045,2016-04-11,CONDUCTOR,MOTO,MASCULINO,,FATAL
34,2016-0047,2016-04-15,PEATON,PEATON,MASCULINO,41.0,FATAL
35,2016-0048,2016-04-15,PEATON,PEATON,FEMENINO,,FATAL
36,2016-0049,2016-04-17,,,,,FATAL
37,2016-0050,2016-04-19,PEATON,PEATON,MASCULINO,78.0,FATAL
38,2016-0051,2016-04-20,CONDUCTOR,MOTO,MASCULINO,36.0,FATAL
39,2016-0052,2016-04-20,,MOTO,,,FATAL
40,2016-0053,2016-04-22,PEATON,PEATON,MASCULINO,38.0,FATAL
41,2016-0054,2016-04-23,CONDUCTOR,MOTO,MASCULINO,30.0,FATAL
42,2016-0055,2016-04-25,PEATON,PEATON,MASCULINO,79.0,FATAL
43,2016-0056,2016-04-26,CONDUCTOR,MOTO,MASCULINO,26.0,FATAL
44,2016-0058,2016-05-04,PEATON,PEATON,FEMENINO,57.0,FATAL
45,2016-0059,2016-05-08,PEATON,PEATON,MASCULINO,37.0,FATAL
46,2016-0064,2016-05-14,PEATON,PEATON,MASCULINO,20.0,FATAL
47,2016-0065,2016-05-20,PEATON,PEATON,MASCULINO,20.0,FATAL
48,2016-0067,2016-05-21,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,30.0,FATAL
49,2016-0068,2016-05-22,CONDUCTOR,MOTO,MASCULINO,58.0,FATAL
50,2016-0069,2016-05-23,CONDUCTOR,AUTO,MASCULINO,30.0,FATAL
51,2016-0073,2016-06-11,CONDUCTOR,MOTO,MASCULINO,23.0,FATAL
52,2016-0074,2016-06-12,CONDUCTOR,AUTO,MASCULINO,60.0,FATAL
53,2016-0075,2016-06-12,PEATON,PEATON,MASCULINO,42.0,FATAL
54,2016-0076,2016-06-13,PEATON,PEATON,FEMENINO,53.0,FATAL
55,2016-0077,2016-06-13,PEATON,PEATON,FEMENINO,,FATAL
56,2016-0078,2016-06-13,CONDUCTOR,MOTO,MASCULINO,30.0,FATAL
57,2016-0079,2016-06-16,CONDUCTOR,AUTO,FEMENINO,51.0,FATAL
58,2016-0080,2016-06-18,CONDUCTOR,AUTO,MASCULINO,60.0,FATAL
59,2016-0081,2016-06-22,CONDUCTOR,MOTO,MASCULINO,40.0,FATAL
60,2016-0082,2016-06-27,PEATON,PEATON,MASCULINO,87.0,FATAL
61,2016-0083,2016-06-28,PEATON,PEATON,FEMENINO,76.0,FATAL
62,2016-0084,2016-06-29,PEATON,PEATON,MASCULINO,57.0,FATAL
63,2016-0085,2016-06-29,,MOTO,MASCULINO,,FATAL
64,2016-0086,2016-06-30,PEATON,PEATON,MASCULINO,75.0,FATAL
65,2016-0087,2016-07-03,CONDUCTOR,MOTO,MASCULINO,23.0,FATAL
66,2016-0088,2016-07-11,PEATON,PEATON,FEMENINO,70.0,FATAL
67,2016-0089,2016-07-14,PEATON,PEATON,MASCULINO,35.0,FATAL
68,2016-0090,2016-07-14,PEATON,PEATON,MASCULINO,60.0,FATAL
69,2016-0092,2016-07-15,CONDUCTOR,MOTO,MASCULINO,24.0,FATAL
70,2016-0093,2016-07-17,CONDUCTOR,AUTO,MASCULINO,35.0,FATAL
71,2016-0095,2016-07-23,CONDUCTOR,MOTO,MASCULINO,29.0,FATAL
72,2016-0096,2016-07-25,CONDUCTOR,MOTO,MASCULINO,,FATAL
73,2016-0097,2016-07-26,PEATON,PEATON,MASCULINO,80.0,FATAL
74,2016-0098,2016-07-27,CONDUCTOR,MOTO,FEMENINO,43.0,FATAL
75,2016-0099,2016-07-29,CONDUCTOR,CARGAS,MASCULINO,45.0,FATAL
76,2016-0100,2016-08-03,CONDUCTOR,MOTO,MASCULINO,57.0,FATAL
77,2016-0101,2016-08-07,,,MASCULINO,67.0,FATAL
78,2016-0102,2016-08-10,CONDUCTOR,MOTO,MASCULINO,29.0,FATAL
79,2016-0104,2016-08-14,CONDUCTOR,MOTO,MASCULINO,21.0,FATAL
80,2016-0105,2016-08-17,PEATON,PEATON,MASCULINO,19.0,FATAL
81,2016-0106,2016-08-19,PEATON,PEATON,MASCULINO,38.0,FATAL
82,2016-0107,2016-08-20,CONDUCTOR,MOTO,MASCULINO,21.0,FATAL
83,2016-0109,2016-08-24,CONDUCTOR,AUTO,FEMENINO,53.0,FATAL
84,2016-0110,2016-08-24,PEATON,PEATON,MASCULINO,57.0,FATAL
